,Country,Year,Month,Holiday,Product_ID,Expense_Price,Sales
25,Belgium,2016,5,4.0,2,622.565,1070213.9578209482
26,Belgium,2016,7,1.0,2,676.623,1218698.248009833
27,Belgium,2016,8,1.0,2,663.928,1193938.9290209115
28,Belgium,2016,11,2.0,2,771.52,1404826.1148779653
29,Belgium,2016,12,1.0,2,829.174,1535545.0015675267
30,Belgium,2017,1,1.0,2,726.143,1312894.292124054
68,Belgium,2016,4,,2,765.2710000000001,1408095.521940453
71,Belgium,2016,6,,2,722.112,1322332.211286462
77,Belgium,2016,9,,2,760.998,1405057.3890237166
81,Belgium,2016,10,,2,853.8430000000001,1595575.3931391118
84,Belgium,2017,2,,2,617.332,1104062.8700154345
89,Belgium,2017,3,,2,497.23199999999997,860222.0569198314
