,Country,Year,Month,Holiday,Product_ID,Expense_Price,Sales
51,Denmark,2016,4,1.0,2,66175.26400000001,164810601.98179305
52,Denmark,2016,5,3.0,2,84161.79400000001,219923035.5141484
53,Denmark,2016,12,2.0,2,70794.598,174106107.82491216
54,Denmark,2017,1,1.0,2,61985.791,154628244.29249632
72,Denmark,2016,6,,2,73109.054,182355140.74957338
73,Denmark,2016,7,,2,65278.447,158581432.64384037
74,Denmark,2016,8,,2,75939.881,189254808.22237736
80,Denmark,2016,9,,2,73905.232,182546442.45806113
82,Denmark,2016,10,,2,78101.98599999999,194185522.5279505
83,Denmark,2016,11,,2,71397.27900000001,173726860.69104856
88,Denmark,2017,2,,2,57087.558,138052781.05240795
90,Denmark,2017,3,,2,67228.892,167194798.99312723
