,Country,Year,Month,Holiday,Product_ID,Expense_Price,Sales
55,England,2015,12,3.0,4,194.468,204361.19490883144
56,England,2015,12,3.0,5,464.351,770158.009067562
57,England,2016,1,1.0,4,162.639,124176.82770905027
58,England,2016,1,1.0,5,349.70300000000003,516347.56556133734
59,England,2016,3,2.0,4,174.685,155496.93311321276
60,England,2016,3,2.0,5,427.81699999999995,686176.0761553005
61,England,2016,5,2.0,4,175.22400000000002,157005.17959479365
62,England,2016,5,2.0,5,400.744,629797.0839721605
91,England,2015,11,,4,171.166,138256.58621565357
92,England,2015,11,,5,416.969,653570.8309463644
94,England,2016,2,,4,163.553,120594.13116366201
95,England,2016,2,,5,333.14099999999996,476127.2700406968
97,England,2016,4,,4,172.18099999999998,139060.57964288618
98,England,2016,4,,5,399.159,614909.1113552221
100,England,2016,6,,4,181.40200000000002,158770.22428784205
101,England,2016,6,,5,426.19800000000004,671973.34163425
102,England,2016,7,,4,157.756,109386.64449060074
103,England,2016,7,,5,378.903,573010.7633152795
