,Country,Year,Month,Holiday,Product_ID,Expense_Price,Sales
0,Argentina,2016,4,1.0,1,8214.875,12815142.246516129
1,Argentina,2016,4,1.0,2,3087.389,5651415.084607396
2,Argentina,2016,5,2.0,1,10777.878,17731746.375
3,Argentina,2016,5,2.0,2,3424.0240000000003,5651415.084607396
4,Argentina,2016,6,2.0,1,10320.673,17731746.375
5,Argentina,2016,6,2.0,2,3544.3790000000004,5651415.084607396
6,Argentina,2016,7,1.0,1,7377.5869999999995,12815142.246516129
7,Argentina,2016,7,1.0,2,3303.667,5651415.084607396
8,Argentina,2016,8,1.0,1,9805.705,17731746.375
9,Argentina,2016,8,1.0,2,3828.908,5651415.084607396
10,Argentina,2016,10,1.0,1,7284.9,12815142.246516129
11,Argentina,2016,10,1.0,2,3367.1859999999997,5651415.084607396
12,Argentina,2016,11,1.0,1,10381.438,17731746.375
13,Argentina,2016,11,1.0,2,3567.157,5651415.084607396
14,Argentina,2016,12,2.0,1,6865.382,12815142.246516129
15,Argentina,2016,12,2.0,2,3616.0409999999997,5651415.084607396
16,Argentina,2017,1,1.0,1,10704.393999999998,17731746.375
17,Argentina,2017,1,1.0,2,3652.5290000000005,5651415.084607396
18,Argentina,2017,1,1.0,3,,5352313.459091268
19,Argentina,2017,2,2.0,1,7253.269,12815142.246516129
20,Argentina,2017,2,2.0,2,3250.009,5651415.084607396
21,Argentina,2017,2,2.0,3,,5352313.459091268
22,Argentina,2017,3,1.0,1,8427.013,12815142.246516129
23,Argentina,2017,3,1.0,2,2951.466,5651415.084607396
24,Argentina,2017,3,1.0,3,,5352313.459091268
75,Argentina,2016,9,,1,9375.481,12815142.246516129
76,Argentina,2016,9,,2,3415.8759999999997,5651415.084607396
