,Country,Year,Month,Holiday,Product_ID,Expense_Price,Sales
31,Columbia,2016,5,3.0,1,1589.6989999999998,3257949.852040955
32,Columbia,2016,5,3.0,2,3484.177,7088583.006449759
33,Columbia,2016,6,1.0,1,1792.339,3355395.25006727
34,Columbia,2016,6,1.0,2,3525.917,7088583.006449759
35,Columbia,2016,7,2.0,1,1559.57,3257949.852040955
36,Columbia,2016,7,2.0,2,3856.195,7088583.006449759
37,Columbia,2016,8,2.0,1,1360.078,3257949.852040955
38,Columbia,2016,8,2.0,2,3170.702,7088583.006449759
39,Columbia,2016,10,1.0,1,1525.5539999999999,3257949.852040955
40,Columbia,2016,10,1.0,2,3526.675,7088583.006449759
41,Columbia,2016,11,2.0,1,1691.494,3257949.852040955
42,Columbia,2016,11,2.0,2,3728.492,7088583.006449759
43,Columbia,2016,12,2.0,1,1660.75,3257949.852040955
44,Columbia,2016,12,2.0,2,3454.903,7088583.006449759
45,Columbia,2017,1,1.0,1,1472.171,3257949.852040955
46,Columbia,2017,1,1.0,2,3738.0,7088583.006449759
47,Columbia,2017,1,1.0,3,,3257949.852040955
48,Columbia,2017,3,1.0,1,1843.579,4186973.6426423267
49,Columbia,2017,3,1.0,2,3923.139,7088583.006449759
50,Columbia,2017,3,1.0,3,,3257949.852040955
69,Columbia,2016,4,,1,1723.635,3355395.25006727
70,Columbia,2016,4,,2,3262.763,7088583.006449759
78,Columbia,2016,9,,1,1608.219,3257949.852040955
79,Columbia,2016,9,,2,3591.035,7088583.006449759
85,Columbia,2017,2,,1,1544.0510000000002,3257949.852040955
86,Columbia,2017,2,,2,3303.1679999999997,7088583.006449759
87,Columbia,2017,2,,3,,3257949.852040955
