,Country,Year,Month,Holiday,Product_ID,Expense_Price,Sales
51,Denmark,2016,4,1.0,2,66175.26400000001,155377823.13979167
52,Denmark,2016,5,3.0,2,84161.79400000001,183179077.27666667
53,Denmark,2016,12,2.0,2,70794.598,178511472.59366664
54,Denmark,2017,1,1.0,2,61985.791,160399367.942125
72,Denmark,2016,6,,2,73109.054,182839764.13966665
73,Denmark,2016,7,,2,65278.447,150000448.74429166
74,Denmark,2016,8,,2,75939.881,182839764.13966665
80,Denmark,2016,9,,2,73905.232,182839764.13966665
82,Denmark,2016,10,,2,78101.98599999999,183179077.27666667
83,Denmark,2016,11,,2,71397.27900000001,182839764.13966665
88,Denmark,2017,2,,2,57087.558,146817597.9688393
90,Denmark,2017,3,,2,67228.892,166821633.45549998
