,Country,Year,Month,Holiday,Product_ID,Expense_Price,Sales
55,England,2015,12,3.0,4,194.468,183571.12239898992
56,England,2015,12,3.0,5,464.351,654941.041236905
57,England,2016,1,1.0,4,162.639,144881.72463888885
58,England,2016,1,1.0,5,349.70300000000003,497099.15477629873
59,England,2016,3,2.0,4,174.685,144881.72463888885
60,England,2016,3,2.0,5,427.81699999999995,654941.041236905
61,England,2016,5,2.0,4,175.22400000000002,149096.35169343432
62,England,2016,5,2.0,5,400.744,654941.041236905
91,England,2015,11,,4,171.166,144881.72463888885
92,England,2015,11,,5,416.969,654941.041236905
94,England,2016,2,,4,163.553,144881.72463888885
95,England,2016,2,,5,333.14099999999996,479632.9776651876
97,England,2016,4,,4,172.18099999999998,144881.72463888885
98,England,2016,4,,5,399.159,654941.041236905
100,England,2016,6,,4,181.40200000000002,165904.39610454548
101,England,2016,6,,5,426.19800000000004,654941.041236905
102,England,2016,7,,4,157.756,144881.72463888885
103,England,2016,7,,5,378.903,539435.6939591992
