S_No,Year,Month,Product_ID,Country,Sales
79073,2016,4,1,Argentina,12815142.25
79074,2016,5,1,Argentina,17731746.38
79075,2016,6,1,Argentina,17731746.38
79076,2016,7,1,Argentina,12815142.25
79077,2016,8,1,Argentina,17731746.38
79078,2016,9,1,Argentina,12815142.25
79079,2016,10,1,Argentina,12815142.25
79080,2016,11,1,Argentina,17731746.38
79081,2016,12,1,Argentina,12815142.25
79082,2017,1,1,Argentina,17731746.38
79083,2017,2,1,Argentina,12815142.25
79084,2017,3,1,Argentina,12815142.25
79085,2016,4,2,Argentina,5651415.085
79086,2016,5,2,Argentina,5651415.085
79087,2016,6,2,Argentina,5651415.085
79088,2016,7,2,Argentina,5651415.085
79089,2016,8,2,Argentina,5651415.085
79090,2016,9,2,Argentina,5651415.085
79091,2016,10,2,Argentina,5651415.085
79092,2016,11,2,Argentina,5651415.085
79093,2016,12,2,Argentina,5651415.085
79094,2017,1,2,Argentina,5651415.085
79095,2017,2,2,Argentina,5651415.085
79096,2017,3,2,Argentina,5651415.085
79097,2017,1,3,Argentina,5352313.459
79098,2017,2,3,Argentina,5352313.459
79099,2017,3,3,Argentina,5352313.459
79100,2016,4,2,Belgium,1239486.622
79101,2016,5,2,Belgium,1163561.857
79102,2016,6,2,Belgium,1201085.071
79103,2016,7,2,Belgium,1201085.071
79104,2016,8,2,Belgium,1163561.857
79105,2016,9,2,Belgium,1239486.622
79106,2016,10,2,Belgium,1385918.645
79107,2016,11,2,Belgium,1239486.622
79108,2016,12,2,Belgium,1385918.645
79109,2017,1,2,Belgium,1201085.071
79110,2017,2,2,Belgium,1163561.857
79111,2017,3,2,Belgium,798817.6436
79112,2016,4,1,Columbia,3355395.25
79113,2016,5,1,Columbia,3257949.852
79114,2016,6,1,Columbia,3355395.25
79115,2016,7,1,Columbia,3257949.852
79116,2016,8,1,Columbia,3257949.852
79117,2016,9,1,Columbia,3257949.852
79118,2016,10,1,Columbia,3257949.852
79119,2016,11,1,Columbia,3257949.852
79120,2016,12,1,Columbia,3257949.852
79121,2017,1,1,Columbia,3257949.852
79122,2017,2,1,Columbia,3257949.852
79123,2017,3,1,Columbia,4186973.643
79124,2016,4,2,Columbia,7088583.006
79125,2016,5,2,Columbia,7088583.006
79126,2016,6,2,Columbia,7088583.006
79127,2016,7,2,Columbia,7088583.006
79128,2016,8,2,Columbia,7088583.006
79129,2016,9,2,Columbia,7088583.006
79130,2016,10,2,Columbia,7088583.006
79131,2016,11,2,Columbia,7088583.006
79132,2016,12,2,Columbia,7088583.006
79133,2017,1,2,Columbia,7088583.006
79134,2017,2,2,Columbia,7088583.006
79135,2017,3,2,Columbia,7088583.006
79136,2017,1,3,Columbia,3257949.852
79137,2017,2,3,Columbia,3257949.852
79138,2017,3,3,Columbia,3257949.852
79139,2016,4,2,Denmark,155377823.1
79140,2016,5,2,Denmark,183179077.3
79141,2016,6,2,Denmark,182839764.1
79142,2016,7,2,Denmark,150000448.7
79143,2016,8,2,Denmark,182839764.1
79144,2016,9,2,Denmark,182839764.1
79145,2016,10,2,Denmark,183179077.3
79146,2016,11,2,Denmark,182839764.1
79147,2016,12,2,Denmark,178511472.6
79148,2017,1,2,Denmark,160399367.9
79149,2017,2,2,Denmark,146817598
79150,2017,3,2,Denmark,166821633.5
79151,2015,11,5,England,654941.0412
79152,2015,12,5,England,654941.0412
79153,2016,1,5,England,497099.1548
79154,2016,2,5,England,479632.9777
79155,2016,3,5,England,654941.0412
79156,2016,4,5,England,654941.0412
79157,2016,5,5,England,654941.0412
79158,2016,6,5,England,654941.0412
79159,2016,7,5,England,539435.694
79160,2015,11,4,England,144881.7246
79161,2015,12,4,England,183571.1224
79162,2016,1,4,England,144881.7246
79163,2016,2,4,England,144881.7246
79164,2016,3,4,England,144881.7246
79165,2016,4,4,England,144881.7246
79166,2016,5,4,England,149096.3517
79167,2016,6,4,England,165904.3961
79168,2016,7,4,England,144881.7246
79169,2015,11,4,Finland,28509224.33
79170,2015,12,4,Finland,31526652.77
79171,2016,1,4,Finland,22956533.49
79172,2016,2,4,Finland,19337771.81
79173,2016,3,4,Finland,31526652.77
79174,2016,4,4,Finland,29086460.48
79175,2016,5,4,Finland,20236994.64
79176,2016,6,4,Finland,27870336
79177,2016,7,4,Finland,18699018.69
